"Country","Subdivision","PrimaryCityOrNote","CountryCode","LocalAreaCode"
"Algeria","Algiers Province","Algiers","+213","21"
"Algeria","Oran Province","Oran","+213","31"
"Algeria","Constantine Province","Constantine","+213","32"
"Algeria","Annaba Province","Annaba","+213","33"
"Algeria","Batna Province","Batna","+213","34"
"Algeria","Blida Province","Blida","+213","26"
"Algeria","Boumerdès Province","Boumerdès","+213","24"
"Algeria","Tizi Ouzou Province","Tizi Ouzou","+213","27"
"Algeria","Sétif Province","Sétif","+213","36"
"Algeria","Skikda Province","Skikda","+213","38"
"Algeria","Tlemcen Province","Tlemcen","+213","43"
"Egypt","Cairo","Capital","+20","2"
"Egypt","Alexandria","—","+20","3"
"Egypt","Giza","—","+20","12"
"Egypt","Shubra El-Kheima","—","+20","16"
"Egypt","Luxor","—","+20","23"
"Egypt","Aswan","—","+20","97"
"Egypt","Port Said","—","+20","42"
"Egypt","Suez","—","+20","62"
"Egypt","Damietta","—","+20","56"
"Egypt","Tanta","—","+20","46"
"Egypt","Ismailia","—","+20","43"
"Egypt","Faiyum","—","+20","69"
"Libya","Tripoli","Capital","+218","21"
"Libya","Benghazi","—","+218","41"
"Libya","Misrata","—","+218","61"
"Libya","Zuwara","—","+218","81"
"Libya","Al Bayda","—","+218","61"
"Morocco","Casablanca","—","+212","5"
"Morocco","Rabat","—","+212","6"
"Morocco","Marrakesh","—","+212","7"
"Morocco","Tangier","—","+212","9"
"Morocco","Fes","—","+212","5"
"Morocco","Agadir","—","+212","5"
"Morocco","Oujda","—","+212","5"
"Morocco","Nador","—","+212","5"
"Morocco","Kenitra","—","+212","5"
"Morocco","Tetouan","—","+212","5"
"Morocco","Khouribga","—","+212","5"
"Morocco","Mohammedia","—","+212","5"
"Morocco","Beni Mellal","—","+212","5"
"Sudan","Khartoum","Capital","+249","1"
"Sudan","Omdurman","—","+249","2"
"Sudan","Port Sudan","—","+249","3"
"Sudan","Nyala","—","+249","4"
"Sudan","Kassala","—","+249","7"
"Tunisia","Tunis","Capital","+216","7"
"Tunisia","Sfax","—","+216","3"
"Tunisia","Sousse","—","+216","4"
"Tunisia","Bizerte","—","+216","8"
"Tunisia","Gabès","—","+216","73"
"Tunisia","Kairouan","—","+216","71"
"Tunisia","Gafsa","—","+216","73"
"Tunisia","Sidi Bou Said","—","+216","7"
"Burundi","—","—","+257","—"
"Comoros","—","—","+269","—"
"Djibouti","—","—","+253","—"
"Eritrea","—","—","+291","—"
"Ethiopia","Addis Ababa","Capital","+251","11"
"Ethiopia","Adama","—","+251","21"
"Ethiopia","Hawassa","—","+251","31"
"Ethiopia","Dire Dawa","—","+251","41"
"Ethiopia","Mekelle","—","+251","11"
"Kenya","Nairobi","Capital","+254","20,22"
"Kenya","Mombasa","—","+254","22"
"Kenya","Eldoret","—","+254","41"
"Kenya","Kisumu","—","+254","51"
"Kenya","Nakuru","—","+254","52"
"Kenya","Thika","—","+254","20"
"Madagascar","Antananarivo","Capital","+261","20"
"Madagascar","Toamasina","—","+261","34"
"Madagascar","Fianarantsoa","—","+261","37"
