"Country","Subdivision","PrimaryCityOrNote","CountryCode","LocalAreaCode"
"Algeria","Algiers Province","Algiers","+213","21"
"Algeria","Oran Province","Oran","+213","31"
"Algeria","Constantine Province","Constantine","+213","32"
"Algeria","Annaba Province","Annaba","+213","33"
"Algeria","Batna Province","Batna","+213","34"
"Algeria","Blida Province","Blida","+213","26"
"Algeria","Boumerdès Province","Boumerdès","+213","24"
"Algeria","Tizi Ouzou Province","Tizi Ouzou","+213","27"
"Algeria","Sétif Province","Sétif","+213","36"
"Algeria","Skikda Province","Skikda","+213","38"
"Algeria","Tlemcen Province","Tlemcen","+213","43"
"Egypt","Cairo","Capital","+20","2"
"Egypt","Alexandria","—","+20","3"
"Egypt","Giza","—","+20","12"
"Egypt","Shubra El-Kheima","—","+20","16"
"Egypt","Luxor","—","+20","23"
"Egypt","Aswan","—","+20","97"
"Egypt","Port Said","—","+20","42"
"Egypt","Suez","—","+20","62"
"Egypt","Damietta","—","+20","56"
"Egypt","Tanta","—","+20","46"
"Egypt","Ismailia","—","+20","43"
"Egypt","Faiyum","—","+20","69"
"Jordan","Amman","Capital","+962","6"
"Jordan","Zarqa","+962","2"
"Jordan","Irbid","+962","2"
"Jordan","Aqaba","+962","6"
"Jordan","Madaba","+962","2"
"Jordan","Salt","+962","2"
"Jordan","Al Karak","+962","2"
"Jordan","Ajloun","+962","2"
"Jordan","Ma'an","+962","6"
"Kuwait","Kuwait City","Capital","+965","2"
"Kuwait","Hawalli","+965","2"
"Kuwait","Salmiya","+965","2"
"Kuwait","Farwaniya","+965","2"
"Kuwait","Jahra","+965","2"
"Lebanon","Beirut","Capital","+961","1"
"Lebanon","Tripoli","+961","6"
"Lebanon","Sidon","+961","9"
"Lebanon","Tyre","+961","7"
"Lebanon","Byblos","+961","3"
"Lebanon","Zahle","+961","4"
"Lebanon","Baabda","+961","3"
"Lebanon","Jounieh","+961","3"
"Lebanon","Baalbek","+961","4"
"Lebanon","Aley","+961","3"
"Libya","Tripoli","Capital","+218","21"
"Libya","Benghazi","—","+218","41"
"Libya","Misrata","—","+218","61"
"Libya","Zuwara","—","+218","81"
"Libya","Al Bayda","—","+218","61"
"Mauritania","Nouakchott","Capital","+222","—"
"Mauritania","Nouadhibou","+222","—"
"Mauritania","Rosso","+222","—"
"Mauritania","Kaédi","+222","—"
"Mauritania","Nouakchott","—","+222","—"
"Mauritania","Tidjikja","+222","—"
"Mauritania","Zouerate","+222","—"
"Mauritania","Nouakchott","—","+222","—"
"Mauritania","Rosso","+222","—"
"Mauritania","Nouadhibou","+222","—"
"Mauritania","Kaédi","+222","—"
"Mauritania","Nouakchott","+222","—"
"Mauritania","Tidjikja","+222","—"
"Mauritania","Zouerate","+222","—"
"Mauritania","Nouakchott","+222","—"
"Mauritania","Rosso","+222","—"
"Mauritania","Nouadhibou","+222","—"
"Morocco","Casablanca","—","+212","5"
"Morocco","Rabat","—","+212","6"
"Morocco","Marrakesh","—","+212","7"
"Morocco","Tangier","—","+212","9"
"Morocco","Fes","—","+212","5"
"Morocco","Agadir","—","+212","5"
"Morocco","Oujda","—","+212","5"
"Morocco","Nador","—","+212","5"
"Morocco","Kenitra","—","+212","5"
"Morocco","Tetouan","—","+212","5"
"Morocco","Khouribga","—","+212","5"
"Morocco","Mohammedia","—","+212","5"
"Morocco","Beni Mellal","—","+212","5"
"Palestine","Ramallah","Capital","+970","2"
"Palestine","Hebron","Hebron","+970","2"
"Palestine","Nablus","Nablus","+970","2"
"Palestine","Gaza","Gaza","+970","9"
"Palestine","Jenin","Jenin","+970","2"
"Palestine","Bethlehem","Bethlehem","+970","2"
"Palestine","Tulkarm","Tulkarm","+970","2"
"Palestine","Qalqilya","Qalqilya","+970","2"
"Palestine","Jericho","Jericho","+970","2"
"Palestine","Shechem","Shechem","+970","2"
"Palestine","Beit Lahia","Beit Lahia","+970","9"
"Palestine","Beit Hanoun","Beit Hanoun","+970","9"
"Palestine","Rafah","Rafah","+970","9"
"Palestine","Deir al-Balah","Deir al-Balah","+970","9"
"Palestine","Khan Yunis","Khan Yunis","+970","9"
"Palestine","Beit Jala","Beit Jala","+970","2"
"Palestine","Beit Sahour","Beit Sahour","+970","2"
"United Arab Emirates","Dubai","—","+971","4"
"United Arab Emirates","Abu Dhabi","Capital","+971","2"
"United Arab Emirates","Sharjah","—","+971","6"
"United Arab Emirates","Ajman","—","+971","6"
"United Arab Emirates","Umm al-Quwain","—","+971","6"
"United Arab Emirates","Ras al-Khaimah","—","+971","7"
"United Arab Emirates","Fujairah","—","+971","9"
"Yemen","Sana'a","Capital","+967","1"
"Yemen","Aden","Aden","+967","2"
"Yemen","Taiz","Taiz","+967","3"
"Yemen","Hodeidah","Hodeidah","+967","4"
"Yemen","Al Hudaydah","+967","4"
"Yemen","Ibb","Ibb","+967","5"
"Yemen","Dhamar","Dhamar","+967","6"
"Yemen","Sa'dah","Sa'dah","+967","7"
"Yemen","Hadhramaut","Hadhramaut","+967","8"
"Yemen","Abyan","Abyan","+967","9"
"United Arab Emirates","Abu Dhabi","Capital","+971","2"
"United Arab Emirates","Dubai","—","+971","4"
"United Arab Emirates","Sharjah","—","+971","6"
"United Arab Emirates","Ajman","—","+971","6"
"United Arab Emirates","Umm al-Quwain","—","+971","6"
"United Arab Emirates","Ras al-Khaimah","—","+971","7"
"United Arab Emirates","Fujairah","—","+971","9"
