"Country","Subdivision","PrimaryCityOrNote","CountryCode","LocalAreaCode"
"Albania","Tirana","Capital","+355","4"
"Albania","Durrës","Durrës","+355","45"
"Albania","Vlorë","Vlorë","+355","49"
"Albania","Elbasan","Elbasan","+355","52"
"Albania","Shkodër","Shkodër","+355","22"
"Albania","Fier","Fier","+355","59"
"Albania","Korçë","Korçë","+355","85"
"Bosnia and Herzegovina","Republika Srpska","Banja Luka","+387","51"
"Bosnia and Herzegovina","Federation of Bosnia and Herzegovina","Sarajevo","+387","33"
"Bosnia and Herzegovina","Federation of Bosnia and Herzegovina","Tuzla","+387","35"
"Bosnia and Herzegovina","Federation of Bosnia and Herzegovina","Mostar","+387","36"
"Bosnia and Herzegovina","Federation of Bosnia and Herzegovina","Zenica","+387","37"
"Bosnia and Herzegovina","Federation of Bosnia and Herzegovina","Bijeljina","+387","52"
"Bosnia and Herzegovina","Federation of Bosnia and Herzegovina","Prijedor","+387","53"
"Bosnia and Herzegovina","Federation of Bosnia and Herzegovina","Doboj","+387","54"
"Bosnia and Herzegovina","Federation of Bosnia and Herzegovina","Brčko","+387","55"
"Bulgaria","Sofia","Capital","+359","2"
"Bulgaria","Plovdiv","Plovdiv","+359","32"
"Bulgaria","Varna","Varna","+359","52"
"Bulgaria","Burgas","Burgas","+359","56"
"Bulgaria","Ruse","Ruse","+359","82"
"Bulgaria","Stara Zagora","Stara Zagora","+359","44"
"Bulgaria","Pleven","Pleven","+359","35"
"Bulgaria","Dobrich","Dobrich","+359","58"
"Bulgaria","Shumen","Shumen","+359","53"
"Bulgaria","Veliko Tarnovo","Veliko Tarnovo","+359","42"
"Croatia","Zagreb","Capital","+385","1"
"Croatia","Split","Split","+385","21"
"Croatia","Rijeka","Rijeka","+385","52"
"Croatia","Osijek","Osijek","+385","31"
"Croatia","Zadar","Zadar","+385","23"
"Croatia","Pula","Pula","+385","52"
"Croatia","Slavonski Brod","Slavonski Brod","+385","32"
"Croatia","Karlovac","Karlovac","+385","32"
"Croatia","Varaždin","Varaždin","+385","33"
"Croatia","Šibenik","Šibenik","+385","23"
"Greece","Attica","Athens","+30","21"
"Greece","Central Macedonia","Thessaloniki","+30","231"
"Greece","Peloponnese","Patras","+30","261"
"Greece","Crete","Heraklion","+30","281"
"Greece","Thessaly","Larissa","+30","241"
"Greece","Thrace","Komotini","+30","2541"
"Greece","Ionian Islands","Corfu","+30","26610"
"Kosovo","Pristina","Capital","+383","38"
"Kosovo","Prizren","Prizren","+383","39"
"Kosovo","Peć","Peć","+383","37"
"Kosovo","Gjakova","Gjakova","+383","36"
"Montenegro","Podgorica","Capital","+382","20"
"Montenegro","Nikšić","Nikšić","+382","33"
"Montenegro","Pljevlja","Pljevlja","+382","32"
"Montenegro","Bijelo Polje","Bijelo Polje","+382","33"
"Montenegro","Bar","Bar","+382","30"
"Montenegro","Budva","Budva","+382","30"
"North Macedonia","Skopje","Capital","+389","2"
"North Macedonia","Bitola","Bitola","+389","46"
"North Macedonia","Kumanovo","Kumanovo","+389","31"
"North Macedonia","Prilep","Prilep","+389","44"
"North Macedonia","Tetovo","Tetovo","+389","31"
"North Macedonia","Veles","Veles","+389","32"
"North Macedonia","Gostivar","Gostivar","+389","31"
"North Macedonia","Štip","Štip","+389","33"
