"Country","Subdivision","PrimaryCityOrNote","CountryCode","LocalAreaCode"
"Argentina","Buenos Aires (Capital)","Capital","+54","11"
"Argentina","Córdoba","Córdoba","+54","351"
"Argentina","Rosario","Rosario","+54","341"
"Argentina","Mendoza","Mendoza","+54","261"
"Argentina","La Plata","La Plata","+54","221"
"Argentina","Mar del Plata","Mar del Plata","+54","223"
"Argentina","Salta","Salta","+54","387"
"Argentina","Santa Fe","Santa Fe","+54","341"
"Argentina","Tucumán","Tucumán","+54","381"
"Argentina","Neuquén","Neuquén","+54","299"
"Argentina","Bahía Blanca","Bahía Blanca","+54","291"
"Argentina","San Juan","San Juan","+54","268"
"Argentina","San Luis","San Luis","+54","263"
"Argentina","Catamarca","Catamarca","+54","383"
"Argentina","Corrientes","Corrientes","+54","376"
"Argentina","Formosa","Formosa","+54","372"
"Argentina","Jujuy","Jujuy","+54","388"
"Argentina","La Rioja","La Rioja","+54","385"
"Argentina","Santa Cruz","Santa Cruz","+54","299"
"Argentina","Chubut","Chubut","+54","298"
"Argentina","Tierra del Fuego","Tierra del Fuego","+54","290"
"Argentina","Entre Ríos","Entre Ríos","+54","343"
"Argentina","Misiones","Misiones","+54","376"
"Argentina","Santiago del Estero","Santiago del Estero","+54","378"
"Belize","Belize City","Capital","+501","5"
"Belize","San Ignacio","San Ignacio","+501","6"
"Belize","Belmopan","Belmopan","+501","-"
"Belize","Orange Walk","Orange Walk","+501","8"
"Bolivia","La Paz","La Paz","+591","2"
"Bolivia","Santa Cruz","Santa Cruz","+591","3"
"Bolivia","Cochabamba","Cochabamba","+591","4"
"Bolivia","Oruro","Oruro","+591","4"
"Bolivia","Potosí","Potosí","+591","4"
"Brazil","São Paulo","São Paulo","+55","11"
"Brazil","Rio de Janeiro","Rio de Janeiro","+55","21"
"Brazil","Belo Horizonte","Belo Horizonte","+55","31"
"Brazil","Brasília","Brasília","+55","61"
"Brazil","Salvador","Salvador","+55","71"
"Brazil","Fortaleza","Fortaleza","+55","85"
"Brazil","Recife","Recife","+55","81"
"Brazil","Curitiba","Curitiba","+55","41"
"Brazil","Manaus","Manaus","+55","92"
"Brazil","Belém","Belém","+55","91"
"Brazil","Porto Alegre","Porto Alegre","+55","51"
"Brazil","Goiânia","Goiânia","+55","62"
"Brazil","Guarulhos","Guarulhos","+55","11"
"Brazil","Campinas","Campinas","+55","19"
"Brazil","São Luís","São Luís","+55","98"
"Brazil","Natal","Natal","+55","84"
"Brazil","Teresina","Teresina","+55","86"
"Brazil","Campo Grande","Campo Grande","+55","67"
"Brazil","João Pessoa","João Pessoa","+55","83"
"Brazil","Aracaju","Aracaju","+55","79"
"Brazil","Florianópolis","Florianópolis","+55","48"
"Brazil","Vitoria","Vitoria","+55","27"
"Brazil","Cuiabá","Cuiabá","+55","65"
"Brazil","São Bernardo do Campo","São Bernardo do Campo","+55","11"
"Brazil","Sorocaba","Sorocaba","+55","15"
"Brazil","Niterói","Niterói","+55","21"
"Brazil","Duque de Caxias","Duque de Caxias","+55","21"
"Brazil","São José dos Campos","São José dos Campos","+55","12"
"Brazil","Uberlândia","Uberlândia","+55","34"
"Brazil","Contagem","Contagem","+55","31"
"Brazil","Ribeirão Preto","Ribeirão Preto","+55","16"
"Brazil","Juiz de Fora","Juiz de Fora","+55","32"
